ID;Raised (UTC);Fixed;Client;Family;Subfamily;Status
2694325;01/04/2020 13:15;01/04/2020 13:48;Client_213;FIREWALL;FW-025;Closed
2694435;01/04/2020 17:01;07/04/2020 08:08;Client_213;WINDOWS;WINDOWS-007;Closed
2694589;02/04/2020 00:43;02/04/2020 01:10;Client_213;FIREWALL;FW-002;Closed
2694712;02/04/2020 06:10;07/04/2020 08:21;Client_213;WINDOWS;WINDOWS-049;Closed
2694714;02/04/2020 06:06;02/04/2020 06:32;Client_213;FIREWALL;FW-002;Closed
2694787;02/04/2020 07:40;07/04/2020 10:19;Client_213;FIREWALL;FW-002;Closed
2694797;02/04/2020 07:54;02/04/2020 08:23;Client_213;FIREWALL;FW-002;Closed
2694799;02/04/2020 07:57;02/04/2020 08:23;Client_213;FIREWALL;FW-002;Closed
2694839;02/04/2020 08:51;02/04/2020 09:27;Client_213;FIREWALL;FW-002;Closed
2694878;02/04/2020 09:52;02/04/2020 10:25;Client_213;FIREWALL;FW-002;Closed
2694953;02/04/2020 11:24;02/04/2020 11:56;Client_213;FIREWALL;FW-002;Closed
2695023;02/04/2020 13:02;02/04/2020 13:11;Client_213;FIREWALL;FW-025;Closed
2695144;02/04/2020 16:39;02/04/2020 17:02;Client_213;FIREWALL;FW-002;Closed
2695302;03/04/2020 01:17;03/04/2020 01:42;Client_213;FIREWALL;FW-002;Closed
2695404;03/04/2020 06:00;03/04/2020 06:27;Client_213;FIREWALL;FW-002;Closed
2695446;03/04/2020 07:09;03/04/2020 07:18;Client_212;FIREWALL;FW-003;Closed
2695469;03/04/2020 07:55;03/04/2020 08:25;Client_213;FIREWALL;FW-002;Closed
2695473;03/04/2020 07:57;03/04/2020 08:25;Client_213;FIREWALL;FW-002;Closed
2695475;03/04/2020 08:03;03/04/2020 08:33;Client_213;FIREWALL;FW-002;Closed
2695510;03/04/2020 09:02;07/04/2020 10:18;Client_213;FIREWALL;FW-003;Closed
2695511;03/04/2020 09:00;07/04/2020 10:18;Client_213;FIREWALL;FW-003;Closed
2695517;03/04/2020 09:06;03/04/2020 09:37;Client_213;FIREWALL;FW-002;Closed
2695563;03/04/2020 10:11;07/04/2020 10:18;Client_213;FIREWALL;FW-002;Closed
2695580;03/04/2020 10:44;03/04/2020 11:08;Client_213;FIREWALL;FW-025;Closed
2695610;03/04/2020 11:26;07/04/2020 10:17;Client_213;WINDOWS;WINDOWS-041;Closed
2695613;03/04/2020 11:31;03/04/2020 11:59;Client_212;FIREWALL;FW-002;Closed
2696051;04/04/2020 07:55;04/04/2020 08:24;Client_213;FIREWALL;FW-002;Closed
2696168;04/04/2020 14:09;04/04/2020 14:37;Client_213;FIREWALL;FW-002;Closed
2696363;05/04/2020 02:26;05/04/2020 02:56;Client_213;FIREWALL;FW-002;Closed
2696982;06/04/2020 10:05;06/04/2020 22:22;Client_213;FIREWALL;FW-025;Closed
2696993;06/04/2020 10:23;06/04/2020 22:17;Client_213;FIREWALL;FW-002;Closed
2697074;06/04/2020 11:56;07/04/2020 10:04;Client_213;FIREWALL;FW-003;Closed
2697076;06/04/2020 12:03;06/04/2020 22:22;Client_213;FIREWALL;FW-002;Closed
2697147;06/04/2020 14:10;07/04/2020 10:00;Client_213;FIREWALL;FW-003;Closed
2697172;06/04/2020 15:18;06/04/2020 22:22;Client_213;FIREWALL;FW-025;Closed
